cell_id,condition,x,y
train_0,control,6.462090492248535,-7.130476951599121
train_1,control,3.548473834991455,9.068191528320312
train_2,control,-1.9970701932907104,-0.18744418025016785
train_3,control,2.552394151687622,5.931580543518066
train_4,control,0.4353398084640503,2.916426181793213
train_5,control,6.2264227867126465,-1.1236293315887451
train_6,control,-4.41201114654541,2.787578582763672
train_7,control,6.113537788391113,-2.1956067085266113
train_8,control,2.332443952560425,-5.344701290130615
train_9,control,-2.3923611640930176,2.569377899169922
train_10,control,2.39094877243042,-7.685917377471924
train_11,control,15.586658477783203,-5.7411909103393555
train_12,control,-2.518937587738037,-7.308376312255859
train_13,control,5.996147155761719,4.333198547363281
train_14,control,1.9522621631622314,3.8261499404907227
train_15,control,5.252061367034912,-5.1213884353637695
train_16,control,2.6145505905151367,2.102349042892456
train_17,control,-2.507110357284546,1.6098144054412842
train_18,control,4.344797611236572,3.2900054454803467
train_19,control,1.784073829650879,4.774637699127197
train_20,control,-6.249413013458252,2.865323305130005
train_21,control,3.3568806648254395,-4.4861674308776855
train_22,control,-1.2912514209747314,0.931025505065918
train_23,control,4.325309753417969,-0.8339676856994629
train_24,control,4.909946441650391,-7.526829719543457
train_25,control,0.09462058544158936,-1.6588020324707031
train_26,control,9.041507720947266,5.739086151123047
train_27,control,-7.174743175506592,-3.8330140113830566
train_28,control,-4.842599868774414,1.9503331184387207
train_29,control,-1.3682324886322021,5.369836330413818
train_30,control,7.658663272857666,-4.298985481262207
train_31,control,-6.111122131347656,-1.239414930343628
train_32,control,-5.127197265625,-3.3455214500427246
train_33,control,7.368834495544434,0.9866434335708618
train_34,control,-2.5341556072235107,4.308942794799805
train_35,control,8.805967330932617,0.7378824949264526
train_36,control,-3.6900646686553955,2.9505162239074707
train_37,control,4.363254070281982,-0.5669903755187988
train_38,control,1.7181808948516846,1.0626671314239502
train_39,control,1.4436861276626587,-9.44644546508789
train_40,control,4.014797210693359,0.5349812507629395
train_41,control,-10.97533130645752,3.473170518875122
train_42,control,-8.042105674743652,1.1295650005340576
train_43,control,2.6737823486328125,2.1694746017456055
train_44,control,1.0424096584320068,2.39782452583313
train_45,control,-9.16088581085205,0.9063048362731934
train_46,control,-2.7911601066589355,5.213564872741699
train_47,control,6.926262855529785,1.9823710918426514
train_48,control,-6.51135778427124,0.530926525592804
train_49,control,-0.7734538316726685,1.1629904508590698
train_50,control,-9.718600273132324,-3.868314266204834
train_51,control,-6.986018180847168,-9.963769912719727
train_52,control,-1.0560808181762695,1.0493334531784058
train_53,control,-7.818347930908203,-2.1998448371887207
train_54,control,-3.8236305713653564,4.231773376464844
train_55,control,-1.0924488306045532,3.8338003158569336
train_56,control,10.192405700683594,-2.5432660579681396
train_57,control,5.551735877990723,-2.322047710418701
train_58,control,-6.362446308135986,-0.5247556567192078
train_59,control,1.7633334398269653,4.351833820343018
train_60,control,9.85836410522461,-2.150674819946289
train_61,control,0.5417518615722656,-0.33999621868133545
train_62,control,-6.808170318603516,3.2634689807891846
train_63,control,0.822586715221405,1.7081713676452637
train_64,control,7.520277976989746,-1.0592904090881348
train_65,control,5.9691667556762695,-7.214331150054932
train_66,control,-0.48255982995033264,0.13902363181114197
train_67,control,0.6288192868232727,3.444790840148926
train_68,control,4.613945484161377,5.5786356925964355
train_69,control,-2.512662887573242,-0.5886859893798828
train_70,control,6.080593585968018,-4.716931343078613
train_71,control,8.547300338745117,-0.4753163456916809
train_72,control,-2.46927809715271,-4.073791027069092
train_73,control,5.459618091583252,-5.289544582366943
train_74,control,3.432126045227051,-0.7684246301651001
train_75,control,7.504733085632324,0.9739161729812622
train_76,control,7.391396522521973,-5.447090148925781
train_77,control,-9.935585021972656,-1.5641705989837646
train_78,control,2.211305618286133,6.095280170440674
train_79,control,-2.3898520469665527,4.273268699645996
train_80,control,-0.566076397895813,0.47823217511177063
train_81,control,-8.77659797668457,-4.697376251220703
train_82,control,5.289807319641113,-2.231520652770996
train_83,control,2.7317185401916504,8.201148986816406
train_84,control,8.664432525634766,-1.1347767114639282
train_85,control,-1.773721694946289,-4.068935394287109
train_86,control,0.4182993769645691,-2.521618604660034
train_87,control,-2.090320587158203,-1.1350245475769043
train_88,control,-1.935984492301941,4.616793155670166
train_89,control,-7.876099109649658,-2.80470871925354
train_90,control,-0.9074659943580627,1.637857437133789
train_91,control,-5.477521896362305,-3.22064208984375
train_92,control,7.9691572189331055,-2.5295705795288086
train_93,control,-7.731054782867432,1.7138863801956177
train_94,control,7.623271465301514,-3.9414186477661133
train_95,control,1.283044457435608,1.8646959066390991
train_96,control,2.2705790996551514,3.7795238494873047
train_97,control,-6.043178081512451,-4.401069641113281
train_98,control,6.241804122924805,3.370701551437378
train_99,control,-0.7051833868026733,-1.1562433242797852
train_100,control,-7.800986289978027,-1.9497089385986328
