dataset,descriptor_similarity,generator_similarity
Norman,0.6339206640847351,0.43488318800788334
Norman,0.9241660894178338,0.5176055303792734
Norman,0.20456988974247958,-0.04179679319531732
Norman,0.09796462078610502,0.22007846587194765
Norman,0.060564113215253124,0.42352474482494157
Norman,0.5971487429017218,0.347026968793196
Norman,0.5730261987535927,0.801309724388707
Norman,0.7423593405816048,0.9396147693347987
Norman,0.2757812463903556,0.2236986865690493
Norman,0.3230495423432147,0.28748557489527865
Norman,0.34801550112372814,0.26666452118746875
Norman,0.44588755701192884,0.20184369951632536
Norman,0.8290153728048992,0.5665805232406049
Norman,0.47517320084670556,0.35278515215335027
Norman,0.5159045818197838,0.4469273378849401
Norman,0.8435702057179587,0.6365812384721573
Norman,0.12910763183495388,0.01590563734243841
Norman,0.5345814674672562,0.5483006957827508
Norman,0.30056149857477965,0.27391524438351794
Norman,0.40655983481013536,0.19721591968834257
Norman,0.8452196744613539,0.5696449275608821
Norman,0.6137532871002641,0.5169496006820223
Norman,0.7680103413702376,0.8503505279708272
Norman,0.7318313856740422,0.7952147425167945
Norman,0.2014449828522027,0.16876377831697725
Norman,0.3694996800503372,0.32327966855434787
Norman,0.3950134039208921,0.22186777641361974
Norman,0.8442941484035814,0.6717145638269149
Norman,0.06953546750949413,0.10510623904557596
Norman,0.49999869494219984,0.38924739565671135
Norman,0.8055296177320932,0.7776417937818373
Norman,0.07814925469571077,-0.012733515019625413
Norman,0.3944427387313236,0.6101320213164041
Norman,0.9113806886912028,0.7261666590895169
Norman,0.6276794376753354,0.72855020505006
Norman,0.47413775994138385,0.543249144637861
Norman,0.38997966783452975,0.5309679722144849
Norman,0.8026499364449822,0.5958482176200511
Norman,0.8871962609364799,0.4575195586773897
Norman,0.8397133446791534,0.5073682944381688
Norman,0.38562523485979217,0.22584967879807702
Norman,0.7866546246034223,0.24321651972483954
Norman,0.4254204283835368,0.5682268320034465
Norman,0.5851633785057182,0.45619390951325917
Norman,0.3997214477538079,0.22075992505764608
Norman,0.6053182242795124,0.8551222745262348
Norman,0.260686111014103,0.7597008115488253
Norman,0.1768872665129827,0.022093733369728946
Norman,0.4490946374184077,0.35749380286662596
Norman,0.20409037414886866,0.21164106284880507
Norman,0.4431730352223858,0.2320225746483736
Norman,0.11252957829252841,0.39140558275651716
Norman,0.06735454166399579,-0.15059614297869028
Norman,0.4728866021919116,0.719911521955469
Norman,0.3496775058773096,0.3541056758330152
Norman,0.3510884652613948,0.69559738499984
Norman,0.12838447837388955,0.21744854620993925
Norman,0.6963805660651069,0.48178071958848456
Norman,0.6215455608521572,0.22358051075555568
Norman,0.9896494493925041,0.8894878584113773
Norman,0.46823453565748874,0.7585222083787266
Norman,0.7207393096472045,0.859129603526819
Norman,0.7786996041386927,0.2963711635105951
Norman,0.6108319023710771,0.7382933592780729
Norman,0.07311933681976945,0.13051822726333212
Norman,0.8308114447396812,0.5852514896044353
Norman,0.3832964869290296,0.29756411717018916
Norman,0.24344471644039323,0.1793363173260123
Norman,0.5662512635348111,0.4238362772768813
Norman,0.5515902126370112,0.28583483884481853
Norman,0.9414608550542626,0.9214141294645972
Norman,0.9612070465322669,0.8084120329960882
Norman,0.0022895373463220903,0.1953251649023295
Norman,0.8273788545606422,0.5417384441197282
Norman,0.625369228462319,0.4002330220246202
Norman,0.1457338670475653,0.3124926497783137
Norman,0.24319888067994366,0.33383358965919585
Norman,0.8669110903761178,0.8361445342578272
Norman,0.7816991009107112,0.9420810708295249
Norman,0.993705261014529,0.6055897644899091
Norman,0.4275506067571776,0.2782409071218279
Norman,0.6251472134032147,0.6155082339554798
Norman,0.7287611221416688,0.711955666377441
Norman,0.1308447416093259,0.6689809098997482
Norman,0.8280469419646846,0.316129704374703
Norman,0.6903517175119992,0.7950148360536213
Norman,0.7609720971311001,0.5971650030718416
Norman,0.5356392353912296,0.3631151331913221
Norman,0.17490998158808135,0.3310076362728607
Norman,0.38156548217287745,0.43816198319969485
Norman,0.16763628571194666,0.16554178508764933
Norman,0.7179131070167719,0.26660828157934024
Norman,0.745185754378869,0.8259233849045737
Norman,0.3411366142057126,0.21619591255550083
Norman,0.12688066593018954,0.07301906363263352
Norman,0.09756239628159258,0.09768008428724975
Norman,0.0645273774854469,0.33682422366331033
Norman,0.8357259234163987,0.5529823688506738
Norman,0.9473881877770107,0.5682886521436352
Norman,0.6287113323103868,0.568123773242379
Norman,0.5405810206337084,0.4930657383327911
Norman,0.9314353421403702,0.5631140124238169
Norman,0.198498612502241,-0.021866349954176467
Norman,0.638175802970978,0.6479234222597324
Norman,0.12432970799514931,0.2675165233396984
Norman,0.7990852849242002,0.25888482832046794
Norman,0.5145517019441572,0.7293212721517937
Norman,0.9306887114870277,0.3251965044866535
Norman,0.20837710666824705,0.13001478570643665
Norman,0.8257902391820219,0.4799699135619727
Norman,0.00701443800310253,0.05710024256037549
Norman,0.7501511791919018,0.4604727172515639
Norman,0.026213532467259992,-0.04719145863892893
Norman,0.15123291294056207,0.26472943967321566
Norman,0.24831609764484341,0.4652988525410108
Norman,0.7767260990472881,0.6063165857984723
Norman,0.6584496214590319,0.5712308954272647
Norman,0.8148091184926063,0.5453518211739594
Norman,0.4414760538966379,0.41493826084846863
Norman,0.03437280042634294,0.24155829133811135
Norman,0.2057953415650221,0.393041665101435
Norman,0.15321318761720082,0.11883918526948786
Norman,0.6290686901401757,0.3591695201828322
Norman,0.30311634124357345,-0.06633545678968206
Norman,0.22810928376793815,0.6328332510724404
Norman,0.16344601732126784,0.5825181634945034
Norman,0.47009983149871915,0.39959846342979666
